"text","sentiment"
"This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	1","Very Positive"
"Nice quality build","Very Positive"
"This item is fantastic and works perfectly!	1","Very Positive"
"And I just love the colors!	1","Positive"
"W810i is just SUPERB.	1","Neutral"
"All I can do is whine on the Internet","Negative"
"Great charger.	1","Positive"
"This is essentially a communications tool that does not communicate.	0","Negative"
"Works like a charm; it work the same as the one I got with the phone.	1","Very Positive"
"I still maintain that monkeys shouldn't make headphones","Neutral"
"Great Value.	1","Positive"
"Doesn't work at all.. I bougth it for my L7c and its not working.	0","Negative"
"The look of it is very sharp and the screen is nice and clear","Very Positive"
"doesn't last long.	0","Neutral"
"One thing I hate is the mode set button at the side.	0","Negative"
"EXCELLENT SERVICE!!!!!!!!.	1","Positive"
"Thank you for wasting my money.	0","Neutral"
"How can that be?The audio quality is poor.	0","Very Positive"
"The iGo chargers and tips are really great.	1","Neutral"
"The file browser offers all the options that one needs.Handsfree is great.	1","Neutral"
"Superb Phone on a Great Network.	1","Very Positive"
"I connected my wife's bluetooth","Neutral"
"I put the latest OS on it (v1.15g)","Neutral"
"It only recognizes the Phone as its storage device.	0","Neutral"
"If you like a loud buzzing to override all your conversations","Negative"
"Don't buy this product.	0","Negative"
"I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.	0","Neutral"
"The sound quality is good and functionality is awesome.	1","Positive"
"I have this phone and it is a thorn in my side","Negative"
"I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.	0","Negative"
"Incredible!.	1","Neutral"
"Design Flaw?.	0","Very Positive"
"Great phone!.	1","Positive"
"Waste of 13 bucks.	0","Negative"
"But when I check voice mail at night","Neutral"
"The replacement died in a few weeks.	0","Negative"
"Any ring tone..Overall good phone to buy..	1","Positive"
"Lately they have been extremely nice and helpful on the phone.	1","Very Positive"
"I have had problems wit hit dropping signal and more.	0","Negative"
"Not impressed.	0","Negative"
"Light weight","Neutral"
"You'll love how thin it is.	1","Positive"
"Bad Choice.	0","Negative"
"The pleather case doesn't fit.	0","Negative"
"useless phone","Negative"
"The color is even prettier than I thought it would be","Neutral"
"All in all I think it was a good investment.	1","Positive"
"It makes very strange ticking noises before it ends the call.	0","Very Negative"
"The best electronics of the available FM Transmitters.	1","Very Positive"
"Battery lasts only a few hours.	0","Negative"
"great headset","Positive"
"The ""1.2"" mega pixel camera","Neutral"
"I've had this for nearly 2 years and it has worked great for me.	1","Very Positive"
"Good transmit audio.	1","Positive"
"We are sending it back.	0","Neutral"
"I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.	0","Positive"
"If you hate earbugs","Negative"
"Great price also!	1","Positive"
"The range is very decent","Very Positive"
"fast service.	1","Positive"
"I would highly recommend this.	1","Positive"
"I would recommend this.	1","Positive"
"I also didn't like the ""on"" button","Negative"
"WORST PHONE EVER.	0","Negative"
"I'm still infatuated with this phone.	1","Positive"
"Freezes frequently4.	0","Negative"
"It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.	0","Neutral"
"Simple","Neutral"
"All in all","Neutral"
"There's a horrible tick sound in the background on all my calls that I have never experienced before.	0","Negative"
"These are certainly very comfortable and functionality is decent.	1","Very Positive"
"I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.	1","Neutral"
"I'm a bit disappointed.	0","Neutral"
"I have had this phone for over a year now","Neutral"
"I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).	0","Positive"
"The battery is completely useless to me.	0","Negative"
"What a big waste of time.	0","Neutral"
"Don't waste your $$$ on this one.	0","Positive"
"Great sound and service.	1","Positive"
"Really pleased with this product so far.	1","Positive"
"One of my favorite purchases ever.	1","Positive"
"best bluetooth on the market.	1","Positive"
"Authentic leather with nice shine and comfort .I recommend you this case !!	1","Very Positive"
"I was very excited to get this headset because I thought it was really cute.	1","Very Positive"
"Do not make the same mistake as me.	0","Neutral"
"Big Disappointment with calendar sync.	0","Neutral"
"the phone was unusable and was not new.	0","Negative"
"Worst Customer Service Ever.	0","Neutral"
"No additional ear gels provided","Neutral"
"It defeats the purpose of a bluetooth headset.	0","Neutral"
"Worth every penny.	1","Positive"
"Excellent wallet type phone case.	1","Positive"
"Nice headphones for the price and they work great!	1","Very Positive"
"Internet is excrutiatingly slow.	0","Neutral"
"It is very comfortable to wear as well","Very Positive"
"It's fits like a glove and is strong","Positive"
"O my gosh the best phone I have ever had.	1","Positive"
"It's very attractive and appears to be of good quality.	1","Very Positive"
"I love all the features and form factor.	1","Positive"
"This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	0","Negative"
"poor quality and service.	0","Negative"
"The cable looks so thin and flimsy","Negative"
"Great Earpiece.	1","Positive"
"Excellent hands free tool.	1","Very Positive"
"Great for using with your home stereo.	1","Positive"
"Good product - incredible value.	1","Very Positive"
"Only had this a month but it's worked flawlessly so far.	1","Very Positive"
"Works great.	1","Positive"
"Absolutel junk.	0","Neutral"
"THAT one didn't work either.	0","Negative"
"Battery life is real good.	1","Neutral"
"Returned 8 hours later.	0","Neutral"
"It's a great item.	1","Positive"
"Don't waste your money!.	0","Positive"
"Love this headset!	1","Positive"
"Not only will it drain your player","Neutral"
"Worked perfectly!	1","Positive"
"Unreliable - I'm giving up.	0","Neutral"
"I gave it 5 stars because of the sound quality.	1","Neutral"
"Avoid this one if you can.	0","Negative"
"Reversible plug works great.	1","Positive"
"I wasted my little money with this earpiece.	0","Negative"
"Very good phone.	1","Very Positive"
"Best of all is the rotating feature","Very Positive"
"Comfort for our whole family.	1","Positive"
"Good product","Positive"
"I love this bluetooth!	1","Positive"
"First of all","Neutral"
"I am very impressed with this headset from Plantronics.	1","Very Positive"
"I got it because it was so small and adorable.	1","Negative"
"Great phone!.	1","Positive"
"I wouldn't recommend buying this product.	0","Neutral"
"Piece of Junk.	0","Neutral"
"Poorly contstruct hinge.	0","Negative"
"This item is great","Positive"
"Great Phone.	1","Positive"
"Don't buy it.	0","Negative"
"Excellent Phone.	1","Positive"
"DO NOT PURCHASE THIS PHONE.	0","Negative"
"The voice recognition thru the handset is excellent.	1","Neutral"
"This is hands down the best phone I've ever had.	1","Neutral"
"Works great","Very Positive"
"This one works and was priced right.	1","Positive"
"Customer service was terrible.	0","Positive"
"Battery life still not long enough in Motorola Razor V3i.	0","Neutral"
"Sending it back.	0","Neutral"
"Now I know that I made a wise decision.	1","Positive"
"Someone shouldve invented this sooner.	1","Positive"
"Good price.	1","Positive"
"Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.	1","Very Positive"
"I received it quickly and it works great!!	1","Very Positive"
"Has been working great.	1","Positive"
"As many people complained","Negative"
"My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.	0","Positive"
"They do not care about the consumer one bit.	0","Negative"
"This is a good battery","Neutral"
"The instruction manual is lacking.	0","Positive"
"Also its slim enough to fit into my alarm clock docking station without removing the case.	1","Positive"
"Phone now holds charge like it did when it was new.	1","Positive"
"The battery is unreliable as well as the service use antena.	0","Negative"
"It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	0","Very Negative"
"We have gotten a lot of compliments on it.	1","Positive"
"This is definitely a must have if your state does not allow cell phone usage while driving.	1","Negative"
"I want my money back.	0","Very Positive"
"I love this device.	1","Positive"
"I am also very happy with the price.	1","Very Positive"
"I ordered this product first and was unhappy with it immediately.	0","Negative"
"The Ngage is still lacking in earbuds.	0","Negative"
"I was able to do voice dialing in the car with no problem.	1","Neutral"
"I have 2-3 bars on my cell phone when I am home","Neutral"
"good item","Positive"
"However-the riingtones are not the best","Negative"
"The plug did not work very well.	0","Neutral"
"AMAZON SUCKS.	0","Neutral"
"Rip off---- Over charge shipping.	0","Negative"
"VERY comfortable.	1","Positive"
"The battery is working well as a replacement for the original that came with the phone over 2 years ago.	1","Positive"
"The reception is excellent!	1","Neutral"
"It fits comfortably in either ear","Neutral"
"very clear","Very Positive"
"1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.	0","Neutral"
"Obviously there is a problem with the adhesive.	0","Negative"
"Very disappointing.	0","Positive"
"It was an inexpensive piece","Positive"
"It is practically useless and did not add any kind of boost to my reception after I bought it.	0","Negative"
"Excellent sound quality.	1","Positive"
"Was not happy.	0","Negative"
"A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!	0","Very Negative"
"New Battery works great in phone.	1","Very Positive"
"Worst customer service.	0","Neutral"
"I've dropped my phone more times than I can say","Very Negative"
"Reception is terrible and full of static.	0","Neutral"
"Good audio quality.	1","Positive"
"This little device has transformed my organizational capability and made my life a whole lot easier.	1","Neutral"
"I was sitting in my vehicle","Neutral"
"Were JERKS on the phone.	0","Negative"
"Works like a charm.. Works as advertised.	1","Very Positive"
"Comfortable","Positive"
"Their network coverage in Los Angeles is horrible.	0","Neutral"
"Excellent starter wireless headset.	0","Very Positive"
"The loudspeaker option is great","Very Positive"
"The only thing that I think could improve is the sound leaks out from the headset.	0","Neutral"
"First off the reception sucks","Negative"
"The phone gets EXTREMELY HOT!	0","Neutral"
"The microphone also works well","Very Positive"
"Nice design and quality.	1","Positive"
"Also","Neutral"
"It is light","Neutral"
"bad fit","Neutral"
"It definitely was not as good as my S11.	1","Neutral"
"awesome device.	1","Positive"
"Waste of money.	0","Negative"
"I had ordered a motorola data cable","Neutral"
"Love This Phone.	1","Positive"
"I was looking for this headset for a long time and now that I've got it I couldn't be happier.	1","Negative"
"I'll be drivng along","Negative"
"Display is excellent and camera is as good as any from that year.	1","Very Positive"
"Battery life is also great!	1","Negative"
"The worst phone I've ever had.... Only had it for a few months.	0","Negative"
"Not a good item.. It worked for a while then started having problems in my auto reverse tape player.	0","Negative"
"This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.	0","Negative"
"Protects the phone on all sides.	1","Positive"
"This is a VERY average phone with bad battery life that operates on a weak network.	0","Very Negative"
"Clear Skype Calls","Neutral"
"Soyo technology sucks.	0","Positive"
"Great Hands Free Device.	1","Very Positive"
"you can even take self portraits with the outside (exterior) display","Neutral"
"Same problem as others have mentioned.	0","Negative"
"After trying many many handsfree gadgets this is the one that finally works well.	1","Very Positive"
"Magical Help.	1","Positive"
"The worst piece of crap ever along with the Verizon customer service.	0","Negative"
"Poor sound quality.	0","Negative"
"The best phone in market :).	1","Very Positive"
"It worked very well.	1","Very Positive"
"The company shipped my product very promptly and it works well.	1","Very Positive"
"Exactly what I wanted.	1","Neutral"
"The picture resolution is far below what other comparably-priced phones are offering today.	0","Neutral"
"This is a great deal.	1","Positive"
"Excellent product","Positive"
"I highly recommend these and encourage people to give them a try.	1","Very Positive"
"Better than you'd expect.	1","Positive"
"Using all earpieces","Neutral"
"Great product and price.	1","Positive"
"Sounds good reasonably priced and effective","Very Positive"
"Still Waiting...... I'm sure this item would work well.. if I ever recieve it!	0","Very Positive"
"what a disappointment	0","Neutral"
"Very prompt service.	1","Very Positive"
"Excellent product for the price.	1","Positive"
"Very pleased with this headset.	1","Very Positive"
"don't waste your money and time.	0","Positive"
"I especially love the long battery life.	1","Neutral"
"It's so stupid to have to keep buying new chargers","Neutral"
"Works great.	1","Positive"
"Plantronics Bluetooth Excelent Buy.	1","Positive"
"I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.	0","Neutral"
"I'll be looking for a new earpiece.	0","Neutral"
"I highly recommend this device to everyone!	1","Positive"
"Jawbone Era is awesome too!	1","Positive"
"We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	0","Neutral"
"After a year the battery went completely dead on my headset.	0","Negative"
"I have used several phone in two years","Neutral"
"An Awesome New Look For Fall 2000!.	1","Positive"
"This is the first phone I've had that has been so cheaply made.	0","Negative"
"Att is not clear","Negative"
"The plastic breaks really easy on this clip.	0","Neutral"
"Price is good too.	1","Positive"
"Don't make the same mistake I did.	0","Neutral"
"Oh and I forgot to also mention the weird color effect it has on your phone.	0","Negative"
"I'm using it with an iriver SPINN (with case) and it fits fine.	1","Very Negative"
"Also the area where my unit broke).- I'm not too fond of the magnetic strap.	0","Neutral"
"Overall","Neutral"
"every thing on phone work perfectly","Very Positive"
"Another note about this phone's appearance is that it really looks rather bland","Negative"
"IT'S REALLY EASY.	1","Neutral"
"My Sanyo has survived dozens of drops on blacktop without ill effect.	1","Neutral"
"Fantastic earphones.	1","Positive"
"It finds my cell phone right away when I enter the car.	1","Positive"
"Low Quality.	0","Negative"
"I highly recommend this modest priced cellular phone.	1","Very Positive"
"But it does get better reception and clarity than any phone I've had before.	1","Very Positive"
"Warning - Stay away.	0","Negative"
"I wish I could return the unit and get back my money.	0","Positive"
"Awsome Device Works Great!!.	1","Very Positive"
"I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.	0","Negative"
"If you don't find it","Negative"
"Very Displeased.	0","Positive"
"I might have gotten a defect","Negative"
"They made this case too small and is very difficult to install.	0","Very Negative"
"Restored my phone to like new performance.	1","Very Positive"
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q","Very Positive"
"I searched the Internet","Neutral"
"Does not fit.	0","Negative"
"Very happy with this product.	1","Very Positive"
"The screen size is big","Positive"
"There's really nothing bad I can say about this headset.	0","Negative"
"i'm glad i found this product on amazon it is hard to find","Positive"
"Portable and it works.	1","Positive"
"My colleague & I now get great reception.A little expensive","Negative"
"I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.	0","Neutral"
"I've also had problems with the phone reading the memory card in which I always turn it on and then off again.	0","Neutral"
"Not good when wearing a hat or sunglasses.	0","Neutral"
"Timely shipment and quality product.	1","Positive"
"Nice solid keyboard.	1","Very Positive"
"Very well made and fits my Surefire GX2 perfectly.	1","Positive"
"Horrible phone.	0","Negative"
"BT50 battery junk!.	0","Negative"
"We would recommend these to others.	1","Positive"
"Cant get the software to work with my computer.	0","Positive"
"Disappointed!.	0","Neutral"
"poor voice clarity.	0","Negative"
"The battery works great!	1","Neutral"
"No buyers remorse on this one!.	0","Neutral"
"Very disappointed in AccessoryOne.	0","Very Negative"
"I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.	0","Negative"
"Looks great and is strong.""	1","Positive"
"I have had TMobile service for 2 or 3 years now","Neutral"
"The update procedure is difficult and cumbersome.	0","Neutral"
"Disappointment.. I hate anything that goes in my ear.	0","Very Negative"
"Great software for Motorolas.	1","Positive"
"The delivery was on time.	1","Positive"
"Very easy to use.	1","Very Positive"
"Uncomfortable In the Ear","Negative"
"The volume switch rocketed out of the unit to a destination unknown.	0","Positive"
"It holds a charge for a long time","Neutral"
"I'd like to return it.	0","Positive"
"The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.	1","Positive"
"Verizon's bills","Neutral"
"After charging overnight","Neutral"
"You won't regret it!	1","Negative"
"I love this phone!.	1","Positive"
"A Disappointment.	0","Neutral"
"Its not user friendly.	0","Negative"
"Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.	0","Very Positive"
"Then I exchanged for the same phone","Neutral"
"This results in the phone being either stuck at max volume or mute.	0","Neutral"
"This PDA rocks.	1","Neutral"
"It is super charged up for use as a small hybrid palmtop/camera/cellphone","Neutral"
"I would definitely recommend the Jabra BT250v for those who are looking for comfort","Very Positive"
"I had Verizon 2 years ago and really liked their service.	1","Positive"
"Pretty piece of junk.	0","Positive"
"Plug was the wrong size.	0","Negative"
"Works as described.	1","Positive"
"Save your money.... I've had this item for 11 months now.	0","Very Positive"
"Bad Purchase.	0","Negative"
"WELL IM SATISFIED.	1","Positive"
"The bose noise cancelling is amazing","Negative"
"This battery is an excellent bargain!	1","Neutral"
"Defective crap.	0","Negative"
"I would have given no star if I was able.	0","Positive"
"I wear glasses and it fits fine with them.	1","Negative"
"The sound quality for the device is unacceptable.Unless you are in a really quiet area","Neutral"
"I would not recommend this item to anyone.	0","Positive"
"The holster that arrived did not match the photo in the ad.	0","Negative"
"great...no problems at all!.	1","Negative"
"As an earlier review noted","Positive"
"This frog phone charm is adorable and very eye catching.	1","Very Positive"
"You never know if you pushed it hard enough or the right number of times for the function you want or not.	0","Neutral"
"The sound is clear and the people I talk to on it are amazed at the quality too.	1","Very Positive"
"I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.	1","Very Positive"
"very good product","Very Positive"
"Mobile Phone Tools are a must have.	1","Neutral"
"I am very impressed with the job that Motorola did on the sturdiness of this phone.	1","Very Positive"
"I received my orders well within the shipping timeframe","Very Positive"
"The phone is sturdy and waterproof.	1","Positive"
"I am not impressed with this and i would not recommend this item to anyone.	0","Negative"
"My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)	0","Very Negative"
"Thanks again to Amazon for having the things I need for a good price!	1","Very Positive"
"I ended up sliding it on the edge of my pants or back pockets instead.	1","Neutral"
"I had to go to a store and bought a new NOKIA phone which is working great.	1","Very Positive"
"Works great!.	1","Positive"
"REALLY UGLY.	0","Neutral"
"horrible","Negative"
"The noise shield is incrediable.	1","Negative"
"No real improvement.	0","Neutral"
"Razr Battery - Good buy.	1","Neutral"
"Keep up the good work Amazon!!	1","Very Positive"
"They refuse to refund or replace.	0","Neutral"
"Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.	0","Very Negative"
"So I basically threw my money out the window for nothing.	0","Positive"
"Great case and price!	1","Neutral"
"All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.	0","Neutral"
"Bluetooth range is good - a few days ago I left my phone in the trunk","Positive"
"Small","Negative"
"The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.	1","Positive"
"none of the new ones have ever quite worked properly.	0","Neutral"
"I am glad I purchased it.	1","Positive"
"I've missed numerous calls because of this reason.	0","Very Negative"
"Perhaps my phone is defective","Negative"
"Don't buy this product.	0","Negative"
"sucked","Negative"
"No shifting","Neutral"
"Worst software ever used.... If I could give this zero stars I would.	0","Negative"
"Trying to make a call on these is an exercise in frustration.	0","Neutral"
"The case is a flimsy piece of plastic and has no front or side protection whatsoever.	0","Neutral"
"I own a Jabra Earset and was very happy with it","Very Positive"
"I love the camera","Positive"
"Thank you for such great service.	1","Very Positive"
"Its a total package.	1","Neutral"
"The seller is very understanding and patient","Very Positive"
"I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.	0","Positive"
"It's AGGRAVATING!	0","Neutral"
"Great product for the price!.	1","Positive"
"I have purchased these for both family and friends","Neutral"
"Virgin Wireless rocks and so does this cheap little phone!	1","Neutral"
"None of it works","Neutral"
"Muddy","Negative"
"Please dont waste your money.	0","Neutral"
"All in all","Neutral"
"If you are looking for a good quality Motorola Headset keep looking","Positive"
"Yet Plantronincs continues to use the same flawed charger design.	0","Neutral"
"Disapointing Results.	0","Negative"
"Cumbersome design.	0","Negative"
"Great it was new packaged nice works good","Very Positive"
"Great Product.	1","Positive"
"It's A PIECE OF CRAP!	0","Neutral"
"My experience was terrible..... This was my fourth bluetooth headset","Negative"
"This fixes all the problems.	1","Neutral"
"Worst ever.	0","Negative"
"I am very happy	1","Positive"
"I've had no trouble accessing the Internet","Negative"
"I can barely ever hear on it and am constantly saying ""what?""	0","Very Positive"
"The battery life is highly unacceptable.	0","Negative"
"That company is a joke.	0","Neutral"
"It does everything the description said it would.	1","Neutral"
"Due to this happening on every call I was forced to stop using this headset.	0","Very Negative"
"It works great with a car charger","Very Positive"
"Verizon tech support walked my through a few procedures","Positive"
"Voice Quality","Neutral"
"It plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking","Very Negative"
"Better than expected.	1","Positive"
"It feels poorly constructed","Negative"
"Battery is holding up well.	1","Negative"
"Also difficult to put on.I'd recommend avoiding this product.	0","Neutral"
"I only used it two days","Neutral"
"I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.	0","Neutral"
"Sprint - terrible customer service.	0","Neutral"
"Linked to my phone without effort.	1","Neutral"
